Okt;Nov;Dec;Jan;Feb;March;Apr;May;June;July;Aug;Sep;Okt-Nov;Okt-Dec;Okt-Jan;Okt-Feb;Mejveg;Veg
297.26;255.31;234.59;207.01;172.23;265.39;769.82;1242.59;1410.05;1435.41;974.79;456.19;552.57;787.16;994.17;1166.41;1432;6289
297.26;218.76;186.92;164.43;140.54;199.24;360.29;910.52;1368.58;862.32;637.36;313.63;516.02;702.95;867.38;1007.92;1207;4453
226.02;186.62;172.73;145.95;124.80;178.62;570.24;1194.39;1122.34;1189.03;575.77;344.74;412.65;585.38;731.33;856.13;1035;4997
237.00;182.22;153.99;141.13;112.24;162.02;259.20;482.04;953.86;688.25;444.55;259.20;419.22;573.21;714.34;826.58;989;3087
213.97;181.44;163.63;148.09;132.08;252.80;904.61;1314.90;1980.29;1909.41;867.67;445.82;395.41;559.04;707.13;839.21;1092;7423
294.58;219.54;203.80;175.68;144.90;219.86;1106.78;1510.39;1783.30;1521.10;918.55;528.77;514.12;717.92;893.60;1038.49;1258;7369
348.14;279.94;245.57;213.70;210.75;252.80;546.91;1644.29;2166.91;1829.07;886.42;482.11;628.08;873.65;1087.35;1298.11;1551;7556
326.72;251.68;212.37;179.43;145.14;192.82;370.66;899.81;821.66;666.82;498.11;311.04;578.40;790.76;970.19;1115.33;1308;3568
228.43;183.25;168.45;159.34;137.40;215.85;393.98;720.38;1223.42;1036.39;575.77;342.14;411.69;580.13;739.48;876.87;1093;4292
243.70;226.28;193.89;178.35;169.57;246.11;730.94;1017.64;1625.18;1079.23;602.55;349.92;469.98;663.87;842.22;1011.79;1258;5405
260.84;229.91;210.49;186.92;156.37;275.83;570.24;1146.18;1573.34;1347.03;701.64;381.02;490.75;701.24;888.16;1044.54;1320;5719
270.48;213.06;186.92;160.95;135.95;170.86;287.71;835.54;782.78;597.19;439.19;245.46;483.54;670.46;831.41;967.36;1138;3188
264.05;316.22;223.88;187.73;179.49;302.61;611.71;1223.85;1848.10;1194.39;709.67;399.17;580.27;804.16;991.88;1171.37;1474;5987
275.83;196.47;186.39;163.89;134.98;192.28;463.97;894.45;1340.06;886.42;551.67;342.14;472.31;658.70;822.59;957.57;1150;4479
278.51;223.17;194.69;172.20;148.36;266.73;663.55;1111.37;1674.43;1446.12;760.55;357.70;501.68;696.37;868.57;1016.92;1284;6014
264.85;237.17;212.10;174.87;142.48;390.99;946.08;2222.74;2900.45;2407.52;1258.66;635.04;502.02;714.12;888.99;1031.47;1422;10370
492.75;438.05;334.75;316.00;251.58;267.00;619.49;1049.78;1319.33;907.84;642.72;401.76;930.80;1265.55;1581.55;1833.13;2100;4941
286.55;226.02;189.87;169.52;146.11;266.19;611.71;996.22;1529.28;889.10;570.41;321.41;512.57;702.44;871.96;1018.06;1284;4918
216.11;179.11;156.13;140.33;125.05;161.48;430.27;1006.93;1420.42;1247.95;658.79;365.47;395.22;551.35;691.68;816.73;978;5130
266.46;227.06;191.74;157.47;135.46;190.41;559.87;1175.64;1899.94;1036.39;599.87;316.22;493.52;685.27;842.73;978.20;1169;5588
234.59;189.48;165.77;151.57;131.59;161.75;295.49;637.36;902.02;637.36;390.99;234.84;424.07;589.84;741.41;873.00;1035;3098
191.74;150.85;130.95;125.06;106.92;149.16;476.93;653.43;959.04;672.18;439.19;257.13;342.60;473.55;598.62;705.54;854.7;3458
185.85;146.97;135.24;120.51;103.75;115.96;453.60;966.76;1099.01;768.59;492.75;287.71;332.82;468.06;588.57;692.32;808;4068
234.33;205.29;165.50;142.47;121.92;200.85;487.30;706.99;1205.28;781.98;439.19;300.67;439.61;605.11;747.58;869.50;1070;3921
263.25;245.46;201.39;173.53;145.87;195.76;710.21;1172.96;1461.89;1266.69;613.26;375.84;508.71;710.10;883.63;1029.50;1225;5601
