Okt,Nov,Dec,Jan,Feb,March,Apr,May,June,July,Aug,Sep,Okt-Nov,Okt-Dec,Okt-Jan,Okt-Feb,Mejveg,Veg
170.8564,167.184,146.2188,127.7406,110.7652,156.3952,313.632,565.058,565.056,546.312,329.394,195.1776,338.0404,484.2592,611.9998,722.765,879.1602,2514.6296
186.9244,223.9488,177.5514,141.3984,115.1444,180.765,536.544,1022.996,1145.664,864.994,463.294,266.976,410.8732,588.4246,729.823,844.9674,1025.7324,4300.468
213.9722,192.0672,164.1614,152.646,138.3668,193.6194,549.504,741.806,642.816,626.652,374.92,193.104,406.0394,570.2008,722.8468,861.2136,1054.833,3128.802
168.1784,155.7792,138.7204,130.6864,107.4036,147.29,198.8064,313.326,368.064,278.512,217.7214,150.336,323.9576,462.678,593.3644,700.768,848.058,1526.7658
139.256,145.9296,119.7066,105.2454,94.7268,118.9032,244.944,559.702,653.184,808.756,332.072,192.0672,285.1856,404.8922,510.1376,604.8644,723.7676,2790.7252
178.6226,148.0032,134.9712,117.2964,103.5332,143.5408,412.128,787.332,891.648,763.23,425.802,277.344,326.6258,461.597,578.8934,682.4266,825.9674,3557.484
215.579,162,136.0424,124.2592,104.2589,147.29,209.952,765.908,653.184,420.446,242.6268,162,377.579,513.6214,637.8806,742.1395,889.4295,2454.1168
140.0594,129.6,101.4962,96.1402,83.2136,121.849,249.6096,741.806,609.12,543.634,350.818,194.1408,269.6594,371.1556,467.2958,550.5094,672.3584,2689.1284
107.12,277.344,201.6534,155.5918,143.5938,172.1954,689.472,1194.388,1174.176,875.706,519.532,292.896,384.464,586.1174,741.7092,885.303,1057.4984,4746.17
190.9414,150.5952,132.0254,123.188,114.6606,166.8394,321.408,1017.64,1070.496,747.162,396.344,248.0544,341.5366,473.562,596.75,711.4106,878.25,3801.1044
231.1114,214.6176,201.1178,159.6088,139.0925,221.2028,578.016,669.5,974.592,790.01,656.11,339.552,445.729,646.8468,806.4556,945.5481,1166.7509,4007.78
251.4642,192.0672,158.8054,138.4526,138.1249,232.1826,375.84,929.266,1054.944,559.702,455.26,250.9056,443.5314,602.3368,740.7894,878.9143,1111.0969,3625.9176
197.1008,170.5536,167.6428,138.7204,136.577,188.5312,458.784,958.724,821.664,741.806,332.072,217.728,367.6544,535.2972,674.0176,810.5946,999.1258,3530.778
189.0668,149.2992,125.866,108.9946,99.179,148.629,220.5792,302.614,655.776,565.058,342.784,163.5552,338.366,464.232,573.2266,672.4056,821.0346,2250.3664
169.2496,154.7424,129.6152,113.5472,99.6628,154.5206,676.512,854.282,1355.616,1081.912,449.904,257.3856,323.992,453.6072,567.1544,666.8172,821.3378,4675.6116
222.0062,160.4448,142.7374,118.6354,104.7427,163.358,497.664,615.94,785.376,557.024,329.394,232.7616,382.451,525.1884,643.8238,748.5665,911.9245,3018.1596
184.5142,151.1136,139.256,126.1338,130.8132,164.9648,352.512,921.232,979.776,677.534,302.614,170.0352,335.6278,474.8838,601.0176,731.8308,896.7956,3403.7032
172.4632,163.5552,108.459,117.5642,99.179,155.8596,311.04,484.718,292.896,242.8946,193.0838,145.9296,336.0184,444.4774,562.0416,661.2206,817.0802,1670.562
136.3102,119.7504,104.25,87.5706,90.7125,123.9914,155.52,334.75,386.208,246.9116,167.375,129.8592,256.0606,360.3106,447.8812,538.5937,662.5851,1420.6238
